gene_symbol	original_cell_type	method	cell_type
GDI2	mv Endothelial cells	xcell	NA
GYG1	mv Endothelial cells	xcell	NA
LAMP1	mv Endothelial cells	xcell	NA
MTHFR	mv Endothelial cells	xcell	NA
MYL6	mv Endothelial cells	xcell	NA
NAP1L4	mv Endothelial cells	xcell	NA
NDUFC2	mv Endothelial cells	xcell	NA
PLD2	mv Endothelial cells	xcell	NA
POLR2F	mv Endothelial cells	xcell	NA
ABCD4	mv Endothelial cells	xcell	NA
RPL4	mv Endothelial cells	xcell	NA
RPN2	mv Endothelial cells	xcell	NA
SSBP1	mv Endothelial cells	xcell	NA
TIAL1	mv Endothelial cells	xcell	NA
ZFPL1	mv Endothelial cells	xcell	NA
TXNL1	mv Endothelial cells	xcell	NA
EIF4E2	mv Endothelial cells	xcell	NA
DCAF7	mv Endothelial cells	xcell	NA
KAT5	mv Endothelial cells	xcell	NA
FRS3	mv Endothelial cells	xcell	NA
ATF7	mv Endothelial cells	xcell	NA
EXOC7	mv Endothelial cells	xcell	NA
SIN3B	mv Endothelial cells	xcell	NA
STX12	mv Endothelial cells	xcell	NA
PGLS	mv Endothelial cells	xcell	NA
TBC1D10B	mv Endothelial cells	xcell	NA
FBXO22	mv Endothelial cells	xcell	NA
AHDC1	mv Endothelial cells	xcell	NA
EIF3K	mv Endothelial cells	xcell	NA
UBIAD1	mv Endothelial cells	xcell	NA
UBXN1	mv Endothelial cells	xcell	NA
THAP4	mv Endothelial cells	xcell	NA
TACO1	mv Endothelial cells	xcell	NA
INPP5K	mv Endothelial cells	xcell	NA
GPN2	mv Endothelial cells	xcell	NA
C19orf24	mv Endothelial cells	xcell	NA
ZWILCH	mv Endothelial cells	xcell	NA
TMEM39B	mv Endothelial cells	xcell	NA
ENOPH1	mv Endothelial cells	xcell	NA
CCDC90B	mv Endothelial cells	xcell	NA
MOSPD3	mv Endothelial cells	xcell	NA
ELOVL1	mv Endothelial cells	xcell	NA
MUL1	mv Endothelial cells	xcell	NA
GSDMD	mv Endothelial cells	xcell	NA
TOR1AIP2	mv Endothelial cells	xcell	NA
SENP5	mv Endothelial cells	xcell	NA
TIPRL	mv Endothelial cells	xcell	NA
ART4	mv Endothelial cells	xcell	NA
ARVCF	mv Endothelial cells	xcell	NA
BMX	mv Endothelial cells	xcell	NA
CALM1	mv Endothelial cells	xcell	NA
CASP10	mv Endothelial cells	xcell	NA
CAV1	mv Endothelial cells	xcell	NA
CD9	mv Endothelial cells	xcell	NA
ENTPD1	mv Endothelial cells	xcell	NA
CDK9	mv Endothelial cells	xcell	NA
CSF2RB	mv Endothelial cells	xcell	NA
CTNNA1	mv Endothelial cells	xcell	NA
ACE	mv Endothelial cells	xcell	NA
ELK4	mv Endothelial cells	xcell	NA
ERG	mv Endothelial cells	xcell	NA
ERH	mv Endothelial cells	xcell	NA
FLOT2	mv Endothelial cells	xcell	NA
FLT1	mv Endothelial cells	xcell	NA
GABPB1	mv Endothelial cells	xcell	NA
HDAC1	mv Endothelial cells	xcell	NA
HTR1B	mv Endothelial cells	xcell	NA
IL3RA	mv Endothelial cells	xcell	NA
LYL1	mv Endothelial cells	xcell	NA
MAP3K3	mv Endothelial cells	xcell	NA
MGAT5	mv Endothelial cells	xcell	NA
NCK1	mv Endothelial cells	xcell	NA
PNP	mv Endothelial cells	xcell	NA
PDCL	mv Endothelial cells	xcell	NA
PIK3CG	mv Endothelial cells	xcell	NA
PLCG1	mv Endothelial cells	xcell	NA
RALB	mv Endothelial cells	xcell	NA
TAL1	mv Endothelial cells	xcell	NA
ZNF22	mv Endothelial cells	xcell	NA
HERC1	mv Endothelial cells	xcell	NA
ATP6V0E1	mv Endothelial cells	xcell	NA
LRRFIP1	mv Endothelial cells	xcell	NA
SEMA6C	mv Endothelial cells	xcell	NA
MYL12A	mv Endothelial cells	xcell	NA
TFEC	mv Endothelial cells	xcell	NA
MMRN1	mv Endothelial cells	xcell	NA
CD93	mv Endothelial cells	xcell	NA
ATF6	mv Endothelial cells	xcell	NA
TDRD7	mv Endothelial cells	xcell	NA
TSPAN13	mv Endothelial cells	xcell	NA
MAT2B	mv Endothelial cells	xcell	NA
SPTBN5	mv Endothelial cells	xcell	NA
RASIP1	mv Endothelial cells	xcell	NA
GIMAP4	mv Endothelial cells	xcell	NA
LSG1	mv Endothelial cells	xcell	NA
NECAP2	mv Endothelial cells	xcell	NA
ANO2	mv Endothelial cells	xcell	NA
KIF17	mv Endothelial cells	xcell	NA
TMEM109	mv Endothelial cells	xcell	NA
RNF34	mv Endothelial cells	xcell	NA
PLVAP	mv Endothelial cells	xcell	NA
CEACAM21	mv Endothelial cells	xcell	NA
GIMAP6	mv Endothelial cells	xcell	NA
NPR1	mv Endothelial cells	xcell	NA
ACTG1	mv Endothelial cells	xcell	NA
ADRA1B	mv Endothelial cells	xcell	NA
ANXA2	mv Endothelial cells	xcell	NA
ARF1	mv Endothelial cells	xcell	NA
RHOA	mv Endothelial cells	xcell	NA
ATP2B3	mv Endothelial cells	xcell	NA
PTTG1IP	mv Endothelial cells	xcell	NA
CCKAR	mv Endothelial cells	xcell	NA
AP2M1	mv Endothelial cells	xcell	NA
CLTA	mv Endothelial cells	xcell	NA
CPA1	mv Endothelial cells	xcell	NA
DAD1	mv Endothelial cells	xcell	NA
DLST	mv Endothelial cells	xcell	NA
DYNC1H1	mv Endothelial cells	xcell	NA
EIF4G1	mv Endothelial cells	xcell	NA
FOXC2	mv Endothelial cells	xcell	NA
GPR4	mv Endothelial cells	xcell	NA
HSPA4	mv Endothelial cells	xcell	NA
HSP90AB1	mv Endothelial cells	xcell	NA
MAGEB1	mv Endothelial cells	xcell	NA
MIF	mv Endothelial cells	xcell	NA
MIP	mv Endothelial cells	xcell	NA
SEPT2	mv Endothelial cells	xcell	NA
NEDD8	mv Endothelial cells	xcell	NA
OXA1L	mv Endothelial cells	xcell	NA
P4HB	mv Endothelial cells	xcell	NA
PLS3	mv Endothelial cells	xcell	NA
POLR2J	mv Endothelial cells	xcell	NA
PPP2R1A	mv Endothelial cells	xcell	NA
PPP2R2A	mv Endothelial cells	xcell	NA
PSMD1	mv Endothelial cells	xcell	NA
PSMD10	mv Endothelial cells	xcell	NA
RCN2	mv Endothelial cells	xcell	NA
SLC6A7	mv Endothelial cells	xcell	NA
TAF12	mv Endothelial cells	xcell	NA
TJP1	mv Endothelial cells	xcell	NA
DNAJC7	mv Endothelial cells	xcell	NA
KCNAB1	mv Endothelial cells	xcell	NA
USP5	mv Endothelial cells	xcell	NA
AKAP4	mv Endothelial cells	xcell	NA
MED20	mv Endothelial cells	xcell	NA
SAE1	mv Endothelial cells	xcell	NA
ABCF2	mv Endothelial cells	xcell	NA
B3GALT5	mv Endothelial cells	xcell	NA
CLEC4M	mv Endothelial cells	xcell	NA
GLRX3	mv Endothelial cells	xcell	NA
ARPC1A	mv Endothelial cells	xcell	NA
YKT6	mv Endothelial cells	xcell	NA
ACTL7A	mv Endothelial cells	xcell	NA
CAPN11	mv Endothelial cells	xcell	NA
PWP1	mv Endothelial cells	xcell	NA
CDC37	mv Endothelial cells	xcell	NA
FAM107A	mv Endothelial cells	xcell	NA
ECD	mv Endothelial cells	xcell	NA
NCBP2	mv Endothelial cells	xcell	NA
GANAB	mv Endothelial cells	xcell	NA
PMPCA	mv Endothelial cells	xcell	NA
NUP188	mv Endothelial cells	xcell	NA
CLDN14	mv Endothelial cells	xcell	NA
ARL2BP	mv Endothelial cells	xcell	NA
PRND	mv Endothelial cells	xcell	NA
PITPNB	mv Endothelial cells	xcell	NA
TRPC4AP	mv Endothelial cells	xcell	NA
NOC2L	mv Endothelial cells	xcell	NA
FOXD3	mv Endothelial cells	xcell	NA
TRAPPC3	mv Endothelial cells	xcell	NA
SEC61A1	mv Endothelial cells	xcell	NA
CHCHD2	mv Endothelial cells	xcell	NA
SNTG2	mv Endothelial cells	xcell	NA
DDX56	mv Endothelial cells	xcell	NA
TMED9	mv Endothelial cells	xcell	NA
FNDC8	mv Endothelial cells	xcell	NA
COMMD4	mv Endothelial cells	xcell	NA
C1orf123	mv Endothelial cells	xcell	NA
AURKAIP1	mv Endothelial cells	xcell	NA
UNC45A	mv Endothelial cells	xcell	NA
PCDHA6	mv Endothelial cells	xcell	NA
C16orf62	mv Endothelial cells	xcell	NA
LYZL6	mv Endothelial cells	xcell	NA
MRPL17	mv Endothelial cells	xcell	NA
LRRC3	mv Endothelial cells	xcell	NA
DCTN5	mv Endothelial cells	xcell	NA
YIF1B	mv Endothelial cells	xcell	NA
POM121L2	mv Endothelial cells	xcell	NA
EVC	Myocytes	xcell	NA
SMAD5	Myocytes	xcell	NA
MUSK	Myocytes	xcell	NA
SGCA	Myocytes	xcell	NA
SIM1	Myocytes	xcell	NA
BAG2	Myocytes	xcell	NA
SHQ1	Myocytes	xcell	NA
IMPACT	Myocytes	xcell	NA
EXOC1	Myocytes	xcell	NA
KRTAP1-1	Myocytes	xcell	NA
COPB1	Myocytes	xcell	NA
MYF5	Myocytes	xcell	NA
MAP3K7	Myocytes	xcell	NA
DENR	Myocytes	xcell	NA
XPNPEP3	Myocytes	xcell	NA
PRRC1	Myocytes	xcell	NA
ACTG1	Myocytes	xcell	NA
ALDOA	Myocytes	xcell	NA
ANXA5	Myocytes	xcell	NA
ARF4	Myocytes	xcell	NA
CAD	Myocytes	xcell	NA
CAST	Myocytes	xcell	NA
CAV1	Myocytes	xcell	NA
CAV3	Myocytes	xcell	NA
CCNG1	Myocytes	xcell	NA
CCT6A	Myocytes	xcell	NA
CDH15	Myocytes	xcell	NA
CHRNG	Myocytes	xcell	NA
CLTC	Myocytes	xcell	NA
COX8A	Myocytes	xcell	NA
CSNK1G3	Myocytes	xcell	NA
DCTD	Myocytes	xcell	NA
DDOST	Myocytes	xcell	NA
TOR1A	Myocytes	xcell	NA
EIF4EBP2	Myocytes	xcell	NA
EPRS	Myocytes	xcell	NA
ERCC4	Myocytes	xcell	NA
GDI2	Myocytes	xcell	NA
GLE1	Myocytes	xcell	NA
GNAS	Myocytes	xcell	NA
GRSF1	Myocytes	xcell	NA
GTF2H1	Myocytes	xcell	NA
HIF1A	Myocytes	xcell	NA
HRC	Myocytes	xcell	NA
HSPA8	Myocytes	xcell	NA
IDUA	Myocytes	xcell	NA
KIF2A	Myocytes	xcell	NA
TNPO1	Myocytes	xcell	NA
LAMP1	Myocytes	xcell	NA
LGALS1	Myocytes	xcell	NA
SMAD2	Myocytes	xcell	NA
MIF	Myocytes	xcell	NA
MKLN1	Myocytes	xcell	NA
MMP11	Myocytes	xcell	NA
MSH3	Myocytes	xcell	NA
MYBPH	Myocytes	xcell	NA
MYOD1	Myocytes	xcell	NA
NDUFA10	Myocytes	xcell	NA
SEPT2	Myocytes	xcell	NA
NONO	Myocytes	xcell	NA
PAFAH1B1	Myocytes	xcell	NA
PARN	Myocytes	xcell	NA
PCDHGC3	Myocytes	xcell	NA
SLC25A3	Myocytes	xcell	NA
PLXNB3	Myocytes	xcell	NA
POLR2J	Myocytes	xcell	NA
PSMB4	Myocytes	xcell	NA
PTPN11	Myocytes	xcell	NA
RAPSN	Myocytes	xcell	NA
RCN2	Myocytes	xcell	NA
RPN2	Myocytes	xcell	NA
FBXW4	Myocytes	xcell	NA
SPG7	Myocytes	xcell	NA
SSR4	Myocytes	xcell	NA
SS18	Myocytes	xcell	NA
STAU1	Myocytes	xcell	NA
TIAL1	Myocytes	xcell	NA
UBE3A	Myocytes	xcell	NA
COL14A1	Myocytes	xcell	NA
ZNF37A	Myocytes	xcell	NA
ZNF221	Myocytes	xcell	NA
ZNF214	Myocytes	xcell	NA
RAB7A	Myocytes	xcell	NA
WISP1	Myocytes	xcell	NA
EIF2S2	Myocytes	xcell	NA
USP14	Myocytes	xcell	NA
BAG5	Myocytes	xcell	NA
PREPL	Myocytes	xcell	NA
SNX17	Myocytes	xcell	NA
UBAP2L	Myocytes	xcell	NA
UBA2	Myocytes	xcell	NA
RAD50	Myocytes	xcell	NA
LRPPRC	Myocytes	xcell	NA
MPHOSPH6	Myocytes	xcell	NA
ZMPSTE24	Myocytes	xcell	NA
BCKDK	Myocytes	xcell	NA
YAP1	Myocytes	xcell	NA
CDIPT	Myocytes	xcell	NA
TMEM147	Myocytes	xcell	NA
IPO7	Myocytes	xcell	NA
PTGES3	Myocytes	xcell	NA
FRS2	Myocytes	xcell	NA
CPSF4	Myocytes	xcell	NA
COPS8	Myocytes	xcell	NA
SPIN1	Myocytes	xcell	NA
AFG3L2	Myocytes	xcell	NA
HNRNPA0	Myocytes	xcell	NA
ERP29	Myocytes	xcell	NA
METAP2	Myocytes	xcell	NA
XPOT	Myocytes	xcell	NA
HMGXB3	Myocytes	xcell	NA
CLUAP1	Myocytes	xcell	NA
POFUT2	Myocytes	xcell	NA
DNAJC16	Myocytes	xcell	NA
HARS2	Myocytes	xcell	NA
POFUT1	Myocytes	xcell	NA
ARL2BP	Myocytes	xcell	NA
MKRN2	Myocytes	xcell	NA
TXN2	Myocytes	xcell	NA
IBTK	Myocytes	xcell	NA
TCTN3	Myocytes	xcell	NA
FBXL4	Myocytes	xcell	NA
MYOF	Myocytes	xcell	NA
RPS6KC1	Myocytes	xcell	NA
RNF11	Myocytes	xcell	NA
NPTN	Myocytes	xcell	NA
SND1	Myocytes	xcell	NA
HSPB7	Myocytes	xcell	NA
TUBG2	Myocytes	xcell	NA
VPS4A	Myocytes	xcell	NA
NFU1	Myocytes	xcell	NA
UTP20	Myocytes	xcell	NA
MCTS1	Myocytes	xcell	NA
MYLPF	Myocytes	xcell	NA
EPN1	Myocytes	xcell	NA
SEC61A1	Myocytes	xcell	NA
MRPS16	Myocytes	xcell	NA
IFT52	Myocytes	xcell	NA
METTL9	Myocytes	xcell	NA
MBTPS2	Myocytes	xcell	NA
UCHL5	Myocytes	xcell	NA
RWDD1	Myocytes	xcell	NA
AMOTL2	Myocytes	xcell	NA
ERGIC3	Myocytes	xcell	NA
UBE2D4	Myocytes	xcell	NA
CMPK1	Myocytes	xcell	NA
NUDT9	Myocytes	xcell	NA
NUP54	Myocytes	xcell	NA
GPR173	Myocytes	xcell	NA
RC3H2	Myocytes	xcell	NA
CHCHD3	Myocytes	xcell	NA
FAM120C	Myocytes	xcell	NA
ZDHHC4	Myocytes	xcell	NA
SLC38A7	Myocytes	xcell	NA
ADI1	Myocytes	xcell	NA
QRSL1	Myocytes	xcell	NA
NOP10	Myocytes	xcell	NA
HIF1AN	Myocytes	xcell	NA
ZNF446	Myocytes	xcell	NA
PEX26	Myocytes	xcell	NA
IARS2	Myocytes	xcell	NA
SPATA7	Myocytes	xcell	NA
ACTR10	Myocytes	xcell	NA
DNAH7	Myocytes	xcell	NA
SPPL2B	Myocytes	xcell	NA
PRX	Myocytes	xcell	NA
EDA2R	Myocytes	xcell	NA
CCDC90B	Myocytes	xcell	NA
GUF1	Myocytes	xcell	NA
PKNOX2	Myocytes	xcell	NA
NUCKS1	Myocytes	xcell	NA
FAM160B2	Myocytes	xcell	NA
DCLRE1B	Myocytes	xcell	NA
MRPS11	Myocytes	xcell	NA
C2orf47	Myocytes	xcell	NA
SPAG16	Myocytes	xcell	NA
PALB2	Myocytes	xcell	NA
TBC1D17	Myocytes	xcell	NA
ZNF668	Myocytes	xcell	NA
METTL8	Myocytes	xcell	NA
C10orf88	Myocytes	xcell	NA
MYO19	Myocytes	xcell	NA
RUFY1	Myocytes	xcell	NA
INTS5	Myocytes	xcell	NA
TM2D1	Myocytes	xcell	NA
ACTR8	Myocytes	xcell	NA
SLC38A10	Myocytes	xcell	NA
MYL6B	Myocytes	xcell	NA
YTHDF3	Myocytes	xcell	NA
ALPL	Myocytes	xcell	NA
CASQ2	Myocytes	xcell	NA
DES	Myocytes	xcell	NA
HAS1	Myocytes	xcell	NA
MYH7	Myocytes	xcell	NA
MYL1	Myocytes	xcell	NA
MYL4	Myocytes	xcell	NA
MYOG	Myocytes	xcell	NA
TNNI1	Myocytes	xcell	NA
TNNT2	Myocytes	xcell	NA
TTN	Myocytes	xcell	NA
ACTA1	Myocytes	xcell	NA
ACTN2	Myocytes	xcell	NA
CKM	Myocytes	xcell	NA
MSTN	Myocytes	xcell	NA
MYH1	Myocytes	xcell	NA
MYH2	Myocytes	xcell	NA
MYH8	Myocytes	xcell	NA
ROS1	Myocytes	xcell	NA
SGCG	Myocytes	xcell	NA
SLN	Myocytes	xcell	NA
TNNC2	Myocytes	xcell	NA
ATP1B4	Myocytes	xcell	NA
HEYL	Myocytes	xcell	NA
ITGB1BP2	Myocytes	xcell	NA
GSG1	Myocytes	xcell	NA
BLK	naive B-cells	xcell	NA
CXCR5	naive B-cells	xcell	NA
CD19	naive B-cells	xcell	NA
MS4A1	naive B-cells	xcell	NA
CD72	naive B-cells	xcell	NA
SPIB	naive B-cells	xcell	NA
TCL1A	naive B-cells	xcell	NA
FCRL2	naive B-cells	xcell	NA
CD22	naive B-cells	xcell	NA
CD79B	naive B-cells	xcell	NA
CCR6	naive B-cells	xcell	NA
GPR18	naive B-cells	xcell	NA
CD180	naive B-cells	xcell	NA
MGAT5	naive B-cells	xcell	NA
MBD4	naive B-cells	xcell	NA
TSPAN13	naive B-cells	xcell	NA
UTP6	naive B-cells	xcell	NA
TREML2	naive B-cells	xcell	NA
CD37	naive B-cells	xcell	NA
CD79A	naive B-cells	xcell	NA
CSNK1G3	naive B-cells	xcell	NA
DSP	naive B-cells	xcell	NA
FCER2	naive B-cells	xcell	NA
GMFB	naive B-cells	xcell	NA
PNOC	naive B-cells	xcell	NA
SNX2	naive B-cells	xcell	NA
GCM1	naive B-cells	xcell	NA
AP3B1	naive B-cells	xcell	NA
STAG3	naive B-cells	xcell	NA
PRDM4	naive B-cells	xcell	NA
PWP1	naive B-cells	xcell	NA
RRAS2	naive B-cells	xcell	NA
GGA2	naive B-cells	xcell	NA
SIPA1L3	naive B-cells	xcell	NA
STAP1	naive B-cells	xcell	NA
P2RY10	naive B-cells	xcell	NA
DEF8	naive B-cells	xcell	NA
MFN1	naive B-cells	xcell	NA
EGOT	naive B-cells	xcell	NA
CD1A	naive B-cells	xcell	NA
VPREB3	naive B-cells	xcell	NA
CAPN3	naive B-cells	xcell	NA
HSPA4	naive B-cells	xcell	NA
SP140	naive B-cells	xcell	NA
C10orf76	naive B-cells	xcell	NA
SMC6	naive B-cells	xcell	NA
MCM9	naive B-cells	xcell	NA
BMP3	naive B-cells	xcell	NA
CACNA1F	naive B-cells	xcell	NA
COL19A1	naive B-cells	xcell	NA
DAZL	naive B-cells	xcell	NA
GNG3	naive B-cells	xcell	NA
MATN1	naive B-cells	xcell	NA
MAP3K9	naive B-cells	xcell	NA
MMP17	naive B-cells	xcell	NA
MYBPC2	naive B-cells	xcell	NA
PAX5	naive B-cells	xcell	NA
PHKG1	naive B-cells	xcell	NA
PYGM	naive B-cells	xcell	NA
ZNF154	naive B-cells	xcell	NA
PRDM2	naive B-cells	xcell	NA
USP7	naive B-cells	xcell	NA
SYN3	naive B-cells	xcell	NA
ADAM20	naive B-cells	xcell	NA
USP6	naive B-cells	xcell	NA
AKAP6	naive B-cells	xcell	NA
TCL1B	naive B-cells	xcell	NA
BCL2L10	naive B-cells	xcell	NA
FRS2	naive B-cells	xcell	NA
TCL6	naive B-cells	xcell	NA
MYO3A	naive B-cells	xcell	NA
SDK2	naive B-cells	xcell	NA
WDR74	naive B-cells	xcell	NA
UBE2O	naive B-cells	xcell	NA
RBM15	naive B-cells	xcell	NA
KHDRBS2	naive B-cells	xcell	NA
RERE	naive B-cells	xcell	NA
GH1	naive B-cells	xcell	NA
HLA-DOA	naive B-cells	xcell	NA
LY9	naive B-cells	xcell	NA
CIITA	naive B-cells	xcell	NA
PGAM2	naive B-cells	xcell	NA
POU2F1	naive B-cells	xcell	NA
PRKCB	naive B-cells	xcell	NA
RB1	naive B-cells	xcell	NA
TRA2B	naive B-cells	xcell	NA
SLC30A4	naive B-cells	xcell	NA
CUBN	naive B-cells	xcell	NA
CDK13	naive B-cells	xcell	NA
PTCH2	naive B-cells	xcell	NA
TBC1D5	naive B-cells	xcell	NA
BCL2L11	naive B-cells	xcell	NA
N4BP3	naive B-cells	xcell	NA
SNTG2	naive B-cells	xcell	NA
NOC3L	naive B-cells	xcell	NA
TRAPPC9	naive B-cells	xcell	NA
PIKFYVE	naive B-cells	xcell	NA
MARCH8	naive B-cells	xcell	NA
EPHA3	Neurons	xcell	NA
GNG3	Neurons	xcell	NA
INSM1	Neurons	xcell	NA
KCNQ2	Neurons	xcell	NA
NEUROD2	Neurons	xcell	NA
PCDH8	Neurons	xcell	NA
ACTL6B	Neurons	xcell	NA
CAMKV	Neurons	xcell	NA
STMN4	Neurons	xcell	NA
ABCA3	Neurons	xcell	NA
ACVR2B	Neurons	xcell	NA
ADRA2A	Neurons	xcell	NA
CACNA1B	Neurons	xcell	NA
CACNB3	Neurons	xcell	NA
CHRNB2	Neurons	xcell	NA
CPE	Neurons	xcell	NA
CRABP1	Neurons	xcell	NA
CRMP1	Neurons	xcell	NA
NCAN	Neurons	xcell	NA
CTNNA1	Neurons	xcell	NA
EFNB3	Neurons	xcell	NA
CELSR3	Neurons	xcell	NA
ELAVL3	Neurons	xcell	NA
FOXG1	Neurons	xcell	NA
GAD2	Neurons	xcell	NA
GAP43	Neurons	xcell	NA
GEM	Neurons	xcell	NA
GRIK3	Neurons	xcell	NA
GRM2	Neurons	xcell	NA
ID1	Neurons	xcell	NA
IREB2	Neurons	xcell	NA
KCNN1	Neurons	xcell	NA
KCNQ3	Neurons	xcell	NA
KLC1	Neurons	xcell	NA
MEIS2	Neurons	xcell	NA
MLF1	Neurons	xcell	NA
MLLT3	Neurons	xcell	NA
MN1	Neurons	xcell	NA
CD200	Neurons	xcell	NA
MVD	Neurons	xcell	NA
NNAT	Neurons	xcell	NA
NPY	Neurons	xcell	NA
NPTX1	Neurons	xcell	NA
NTRK3	Neurons	xcell	NA
PLXNA2	Neurons	xcell	NA
POU3F1	Neurons	xcell	NA
POU3F2	Neurons	xcell	NA
POU3F3	Neurons	xcell	NA
PKIA	Neurons	xcell	NA
MAPK8	Neurons	xcell	NA
PTPRZ1	Neurons	xcell	NA
PTX3	Neurons	xcell	NA
RPE65	Neurons	xcell	NA
SCN3A	Neurons	xcell	NA
CXCL12	Neurons	xcell	NA
SFRP4	Neurons	xcell	NA
SH3GL2	Neurons	xcell	NA
SH3GL3	Neurons	xcell	NA
SOX4	Neurons	xcell	NA
SOX11	Neurons	xcell	NA
SPAST	Neurons	xcell	NA
ZNF354A	Neurons	xcell	NA
THRA	Neurons	xcell	NA
ZFP37	Neurons	xcell	NA
ZNF711	Neurons	xcell	NA
ZNF14	Neurons	xcell	NA
ZNF43	Neurons	xcell	NA
ZNF195	Neurons	xcell	NA
ZNF223	Neurons	xcell	NA
TUBA1A	Neurons	xcell	NA
ST8SIA4	Neurons	xcell	NA
PDHX	Neurons	xcell	NA
ST8SIA2	Neurons	xcell	NA
HIST1H3D	Neurons	xcell	NA
DCHS1	Neurons	xcell	NA
STX16	Neurons	xcell	NA
B3GALT2	Neurons	xcell	NA
CDK5R1	Neurons	xcell	NA
BSN	Neurons	xcell	NA
HAP1	Neurons	xcell	NA
CYTH2	Neurons	xcell	NA
LHX2	Neurons	xcell	NA
IPO13	Neurons	xcell	NA
NUP93	Neurons	xcell	NA
TSPAN2	Neurons	xcell	NA
CFDP1	Neurons	xcell	NA
SEMA6C	Neurons	xcell	NA
ZNF211	Neurons	xcell	NA
IFI44	Neurons	xcell	NA
DPYSL4	Neurons	xcell	NA
SCGN	Neurons	xcell	NA
PNMA2	Neurons	xcell	NA
ZBTB6	Neurons	xcell	NA
MLLT11	Neurons	xcell	NA
TMSB15A	Neurons	xcell	NA
STMN2	Neurons	xcell	NA
C14orf1	Neurons	xcell	NA
ZFP30	Neurons	xcell	NA
ZNF510	Neurons	xcell	NA
WDR47	Neurons	xcell	NA
KIF21B	Neurons	xcell	NA
ARC	Neurons	xcell	NA
KIAA1107	Neurons	xcell	NA
AGTPBP1	Neurons	xcell	NA
CUX2	Neurons	xcell	NA
SEZ6L	Neurons	xcell	NA
SULT4A1	Neurons	xcell	NA
SETBP1	Neurons	xcell	NA
LRRTM2	Neurons	xcell	NA
RANBP6	Neurons	xcell	NA
CACNG5	Neurons	xcell	NA
CACNG4	Neurons	xcell	NA
PDLIM3	Neurons	xcell	NA
PCSK1N	Neurons	xcell	NA
KCNMB4	Neurons	xcell	NA
SCG3	Neurons	xcell	NA
HUNK	Neurons	xcell	NA
PODXL2	Neurons	xcell	NA
PARD6A	Neurons	xcell	NA
ZNF117	Neurons	xcell	NA
GPR173	Neurons	xcell	NA
FAM105A	Neurons	xcell	NA
LRRN3	Neurons	xcell	NA
FNBP1L	Neurons	xcell	NA
ENOX1	Neurons	xcell	NA
AGPAT5	Neurons	xcell	NA
AP1AR	Neurons	xcell	NA
ZNF821	Neurons	xcell	NA
ANKRD10	Neurons	xcell	NA
ZNF415	Neurons	xcell	NA
BEX1	Neurons	xcell	NA
PCDHB11	Neurons	xcell	NA
ZNF253	Neurons	xcell	NA
C21orf62	Neurons	xcell	NA
KCNK12	Neurons	xcell	NA
ZNF529	Neurons	xcell	NA
PTBP2	Neurons	xcell	NA
ZBED5	Neurons	xcell	NA
NEUROG2	Neurons	xcell	NA
NEUROD6	Neurons	xcell	NA
REEP1	Neurons	xcell	NA
RASL11B	Neurons	xcell	NA
GDAP1L1	Neurons	xcell	NA
NKAIN1	Neurons	xcell	NA
RNF219	Neurons	xcell	NA
ZMAT4	Neurons	xcell	NA
VASH2	Neurons	xcell	NA
ZNF669	Neurons	xcell	NA
PGAP1	Neurons	xcell	NA
ZNF606	Neurons	xcell	NA
ZNF614	Neurons	xcell	NA
ZNF430	Neurons	xcell	NA
ZSCAN16	Neurons	xcell	NA
ZNF34	Neurons	xcell	NA
ZNF484	Neurons	xcell	NA
YIPF4	Neurons	xcell	NA
MUM1	Neurons	xcell	NA
C16orf45	Neurons	xcell	NA
ZNF682	Neurons	xcell	NA
C1orf216	Neurons	xcell	NA
EMID1	Neurons	xcell	NA
PAQR3	Neurons	xcell	NA
ZNF675	Neurons	xcell	NA
TET3	Neurons	xcell	NA
KCTD13	Neurons	xcell	NA
ZNF493	Neurons	xcell	NA
ALDOC	Neurons	xcell	NA
ATP1A3	Neurons	xcell	NA
ATP1B1	Neurons	xcell	NA
ATP2B2	Neurons	xcell	NA
ATP6V1G2	Neurons	xcell	NA
CA8	Neurons	xcell	NA
CACNB4	Neurons	xcell	NA
CALB1	Neurons	xcell	NA
CAMK2B	Neurons	xcell	NA
CDH18	Neurons	xcell	NA
COX7A1	Neurons	xcell	NA
COX7B	Neurons	xcell	NA
DGKB	Neurons	xcell	NA
DEFB1	Neurons	xcell	NA
DLG2	Neurons	xcell	NA
DPP6	Neurons	xcell	NA
FABP6	Neurons	xcell	NA
FGF9	Neurons	xcell	NA
FGF12	Neurons	xcell	NA
GABBR1	Neurons	xcell	NA
GABRA1	Neurons	xcell	NA
GABRB2	Neurons	xcell	NA
GABRG2	Neurons	xcell	NA
GAD1	Neurons	xcell	NA
GNAO1	Neurons	xcell	NA
GPM6A	Neurons	xcell	NA
GRIA2	Neurons	xcell	NA
GRID2	Neurons	xcell	NA
GRIK1	Neurons	xcell	NA
GRM1	Neurons	xcell	NA
GRM7	Neurons	xcell	NA
ID2	Neurons	xcell	NA
ITPR1	Neurons	xcell	NA
KCNC1	Neurons	xcell	NA
KIF5C	Neurons	xcell	NA
LPL	Neurons	xcell	NA
MT3	Neurons	xcell	NA
NDUFA5	Neurons	xcell	NA
NEFM	Neurons	xcell	NA
NEFH	Neurons	xcell	NA
NELL1	Neurons	xcell	NA
NEFL	Neurons	xcell	NA
